id,name,description
151,버거킹 판교유스페이스점,"통새우와퍼주니어세트, 통새우와퍼세트, 와퍼세트, 콰트로치즈와퍼세트, 치즈와퍼세트을 제공하는 패스트푸드 음식점"
152,멜버,"불닭마요 샌드위치, 에그마요 샌드위치, 크랜베리 샌드위치, 감자샐러드 샌드위치, 단호박 샌드위치을 제공하는 패스트푸드 음식점"
153,스타벅스 판교HIPEX점,"카페 아메리카노, 카페 라떼, 스타벅스 돌체 라떼, 카라멜 마키아또, 카푸치노을 제공하는 패스트푸드 음식점"
154,로뚜뚜,"햄에그샌드위치, 햄치즈샌드위치, 에스프레소, 카푸치노을 제공하는 패스트푸드 음식점"
155,마리앤마사판교점,"아메리카노, 아이스 아메리카노, 잉글리쉬머핀, 브리오쉬에그, 길거리 토스트을 제공하는 패스트푸드 음식점"
156,옵션스페셜티커피 판교유스페이스점,"패스오더전용 원 아메리카노, 아메리카노, 카페라떼, 바닐라빈라떼, 교토말차카페라떼을 제공하는 패스트푸드 음식점"
157,별별치킨,후라이드 치킨을 제공하는 패스트푸드 음식점
158,디닭,"닭볶음탕 소, 닭구이 덮밥, 삼계탕, 육개장을 제공하는 한식 음식점"
159,더 탭하우스,"피쉬 & 칩스, 스톤 IPA, 고르곤졸라 피자, 페페로니 피자, 콰트로 치즈피자를 제공하는 양식 음식점"
160,투고샐러드 판교유스페이스점,"치폴레 포크 그랩샐러드, 바질 치킨 그랩샐러드, 갈릭 치킨 그랩샐러드, 목살스테이크샐러드, 닭가슴살스테이크샐러드을 제공하는 양식 음식점"
